,,,,,,,
,Qui,,Quoi,,Topic,,Plan B
,Jean-Noël Lafargue,,interview,,"outils, pédagogie, portefolio",,
,ERG Bruxelles,,"texte, image",,"Cross-over, hacking social, institution, pédagogie",,
,Félix Tréguer,,texte,,"surveillance, hacking social",,
,Outdoor computer club,,image,,"Cyberfeminisme, feminisme",,
,Saul Pandelakis + Anthonu Mazure,,texte,,"Sex-bot, fiction",,
,https://cyber.nymph.garden/,,image,,"portefolio, worshop",,
,Iona Vreme Moser,,image,,"portefolio, feminisme",,
,Sumboy,,"image, son, vidéo, web",,"decolonialisme, nouveaux medias",,"Oulimata Gueye, Malcolm Ferdinand"
,Soline Nivet / Fanny Lopez + JuTr,,texte,,"échelles, infrastructures, énergie, espace",,Fanny Lopez / Soline Nivet
,Feldup,,"image, son, vidéo, web",,"espace, ruines numérique, nouveaux medias",,
,Ashikara,,"image, son, vidéo, web",,"jeux-vidéo, espace",,
