,,,,,,,
,Qui,,Quoi,,Topic,,Plan B
,Stell + Angelo Carreri,,"image, jeux-vidéo, web",,"jeux-vidéo, queer",,
,Justinien Tribillon + SoNi/FaLo,,"texte",,"échelles, infrastructures, énergie, espace",,
,Bertrand Gauguet + Benoit Montingé,,"son, web",,"son, IA, web",,
,Charlie Aubry,,image,,"image, low tech, web",,
,Olivain Porry + Albertine Meunier,,"image, vidéo",,"portefolio, IA, web",,
,Flora Bouteille + Victor Villafane,,"image, vidéo",,"rendu MRC, IA, performance, nouveaux medias",,
,Stéphane Degoutin,,image,,"portefolio, IA",,
,Maude Guiraud,,image,,"portefolio, textile, outils",,
,Corentin Loubet,,image,,"portefolio, surveillance, IA",,
,Marie Lechner,,image,,"portefolio, choix d’artistes",,
